eng,zh-cn,zh-tw,Source,Duplicated
/ui/skins/default/placeholder.png,/ui/skins/default/placeholder.png,/ui/skins/default/placeholder.png,Vanilla,False
Anding,安定,安定,Vanilla,False
"Anping, Farms - Level 2",安平（农田）2级,安平·農場：等級2,Vanilla,False
Anyi,安邑,安邑,Vanilla,False
Ba,巴郡,巴郡,Vanilla,False
Baxi,巴西,巴西,Vanilla,False
Bohai,勃海,渤海,Vanilla,False
Buji,不其,不其,Vanilla,False
Bushan,布山,布山,Vanilla,False
Buwei,不韦,不韋,Vanilla,False
"Cangwu, Lumber Yard",苍梧（贮木场）,蒼梧·鋸木場,Vanilla,False
Canluan,参䜌,參䜌,Vanilla,False
Chaling,茶陵,茶陵,Vanilla,False
Chancheng,镡成,鐔成,Vanilla,False
Chang'an,长安,長安,Vanilla,False
Changsha,长沙,長沙,Vanilla,False
"Changsha, Tea Field",长沙（茶园）,長沙·茶園,Vanilla,False
Changshan,常山,常山,Vanilla,False
Changyang,昌阳,昌陽,Vanilla,False
Chen,陈郡,陳郡,Vanilla,False
"Chen, Livestock Farm",陈郡（畜牧场）,陳郡·牲畜牧場,Vanilla,False
Chengdu,成都,成都,Vanilla,False
Chenliu,陈留,陳留,Vanilla,False
Chenxian,郴县,郴縣,Vanilla,False
Chiqian,赤嵌,赤嵌,Vanilla,False
Chongxian,充县,充縣,Vanilla,False
Dacheng,大城,大城,Vanilla,False
"Dai, Horse Land",代郡（马场）,代郡·馬場,Vanilla,False
Danqu,宕渠,宕渠,Vanilla,False
Danshui,淡水,淡水,Vanilla,False
"Danyang, Copper Mine",丹阳（铜矿）,丹陽·銅礦,Vanilla,False
"Danyang, Salt Mine",丹阳（盐矿）,丹陽·鹽礦,Vanilla,False
Dianchi,滇池,滇池,Vanilla,False
Dingzhou,定周,定周,Vanilla,False
District,城市,郡治,Vanilla,False
Dong Sea,东海,東海,Vanilla,False
Dong'an,东安,東安,Vanilla,False
"Dong, Iron Mine",东郡（铁矿）,東郡·鐵礦,Vanilla,False
Donglai,东莱,東萊,Vanilla,False
Dongping,东平,東平,Vanilla,False
Dongpingling,东平陵,東平陵,Vanilla,False
Dongwu,东武,東武,Vanilla,False
Fanzhi,繁畤,繁峙,Vanilla,False
Farmland,农田,農地,Vanilla,False
Fuchuan,富川,富川,Vanilla,False
Fuli,符离,符離,Vanilla,False
Gaoliu,高柳,高柳,Vanilla,False
