Key,Text,Tooltip,File
effects_description_hv_frontend_description_specialisation_zhang_yan_1,"As the Black Mountain bandits increase in number, they more brazen they become.",FALSE,text/_hvo/hv_TEXT_frontend_features.loc
missions_localised_description_hv_mission_northern_cao_cao_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_cao_cao
missions_localised_description_hv_mission_northern_cao_cao_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_dong_zhuo_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_dong_zhuo
missions_localised_description_hv_mission_northern_dong_zhuo_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_gongsun_zan_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_gongsun_zan
missions_localised_description_hv_mission_northern_gongsun_zan_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_liu_chong_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_liu_chong
missions_localised_description_hv_mission_northern_liu_chong_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_yuan_shao_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_yuan_shao
missions_localised_description_hv_mission_northern_yuan_shao_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_yuan_shu_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,missions_localised_description_hv_mission_northern_yuan_shu
missions_localised_description_hv_mission_northern_yuan_shu_03,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will to you for leadership.,FALSE,text/_hvo/hv_TEXT_events.loc
unit_description_short_texts_text_hv_unit_xiliang_elite_spearmen,"Hardened Xiliang soldies, these elite spearmen will hold the line against all comers.",TRUE,text/_hvo/hv_TEXT_unit_desc.loc
effect_bundles_localised_description_hv_effect_bundle_pooled_reosource_zhang_yan_4,It's getting harder to find anyone who's isn't a Black Mountain bandit.,TRUE,text/_hvo/hv_TEXT_effects_pooled_resource.loc
unit_abilities_tooltip_text_hv_ability_tactical_stance_offensive,The captain inspires nearby soldiers to fight more agressively.,TRUE,text/_hvo/hv_TEXT_unit_abilities.loc
effects_description_hv_effect_dummy_jingchou_unlock,Unlocks Jingchou units [[col:scope_description]](own retinue)[[/col]],TRUE,text/_hvo/hv_TEXT_effects_ceo.loc
missions_localised_description_hv_mission_northern_cao_cao_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,missions_localised_description_hv_mission_northern_cao_cao
missions_localised_description_hv_mission_northern_cao_cao_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_dong_zhuo_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,missions_localised_description_hv_mission_northern_dong_zhuo
missions_localised_description_hv_mission_northern_dong_zhuo_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_gongsun_zan_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,missions_localised_description_hv_mission_northern_gongsun_zan
missions_localised_description_hv_mission_northern_gongsun_zan_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_liu_chong_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,missions_localised_description_hv_mission_northern_liu_chong
missions_localised_description_hv_mission_northern_liu_chong_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,text/_hvo/hv_TEXT_events.loc
missions_localised_description_hv_mission_northern_yuan_shao_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,missions_localised_description_hv_mission_northern_yuan_shao
missions_localised_description_hv_mission_northern_yuan_shao_02,Wars are a costly endevour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,FALSE,text/_hvo/hv_TEXT_events.loc
ui_text_replacements_localised_text_hv_unit_ytr_jaizi_raiders,Jaizi Raiders,TRUE,text/_hvo/hv_TEXT_unit_text_replacements.loc
ceo_nodes_title_hv_ancillary_accessory_jingchou_military_talisman,Jingchou Troop Military Talisman,TRUE,text/_hvo/hv_TEXT_effects_ceo.loc
ceo_nodes_description_hv_ancillary_accessory_jingchou_military_talisman,A symbol of command of the Jingchou troops,TRUE,text/_hvo/hv_TEXT_effects_ceo.loc
,,,
,,,
,,,
,,,
frontend_faction_leader_unique_features_localised_description_hv_frontend_base_units_yuan_shu,[[b]]Buqu[[/b]]\\n[[col:scope_description]]Base army[[/col]]\\n\\n[[col:yellow]]Faction unique units[[/col]]\\n• {{tr:hv_unit_yuan_sword_infantry}}\\• {{tr:hv_unit_hidden_snakes}}\\n• {{tr:hv_unit_rapid_tigers}}\\n\\n[[col:flavour]][[i]]A warlord's private army. Well balanced and versatile.[[/col]][[/i]],FALSE,text/_hvo/hv_TEXT_frontend_features.loc
